name,prefecture,city,website,url,rating,review_count,latitude,longitude,place_id,registered_date
ベトナムハウスチャム,Ehime,久万高原町,,,4.4,30,33.537393,133.0022762,ChIJPXITUT65TzURA9yUbBUnmSs,2024-05-16
ハノイカフェ,Ehime,松山市,,,4.3,144,33.840408,132.7718479,ChIJpyVkju7lTzURUSfC0W0HEyo,2024-05-16
GIA BAO QUAN（ジャ バオ クァン）ベトナムレストラン,Ehime,新居浜市,,,4.6,23,33.9513881,133.287279,ChIJF4dYSwDPUTURDb-fo0H5--o,2024-05-16
NINE ON TABLES / NINE Bake & Deli,Ehime,松山市,,,4.7,26,33.8363722,132.7687073,ChIJPXY1MvPlTzURZri77XhwpmM,2024-05-16
亀山小屋,Ehime,今治市,,,4.3,28,34.1273669,133.0259566,ChIJY50JWJc3UDUR51YBpc8Sb_U,2024-05-16
フォンバインミー,Kochi,佐川町,,,4.0,5,33.4995726,133.2895303,ChIJF0NyweoDTjURcxrA1gj3UpM,2024-05-16
Vietnam Food,Ehime,松山市,,,4.5,88,33.8828804,132.7434014,ChIJVVWFAejlTzURJ2DcolM8IEI,2024-05-16
〈ベトナムの料理〉高知（Thực Phẩm Việt ）,Kochi,高知市,,,4.1,38,33.5592012,133.5385017,ChIJxaD4ZpAZTjURb80h-3GqBOY,2024-05-16
Jepun Kochi (ジュプン・コウチ),Kochi,高知市,,,4.0,4,33.573593,133.5582364,ChIJJR8S1qYeTjURo6AsjFiSNQs,2024-05-16
バインミー 高知升形,Kochi,高知市,,,4.3,8,33.5589221,133.5269051,ChIJYz67a18ZTjURlFToTzUQCdQ,2024-05-16
フオンバインミー（10/14～10/15のみ）,Kochi,高知市,,,0.0,0,33.5548954,133.5308728,ChIJqxoZTdsZTjURW3bps9hT77Y,2024-05-16
BÁNH MÌ 10,Fukuoka,福岡市,,,3.8,39,33.5875638,130.410647,ChIJ90Px-7aRQTURlCbKyP_PlEc,2024-05-16
PHÚ THỌ QUÁN,Saga,福岡市,,,4.1,8,33.6187361,130.4190176,ChIJrZsbC7iPQTURkjKHfS1BaAY,2024-05-16
バインミー グリーン,Fukuoka,福岡市,,,4.5,10,33.617579,130.4245674,ChIJWQxbtRePQTURxDqfUmaZmfs,2024-05-16
HUONG VIET - QUÁN ĂN- TẠP HOÁ(ベトナム料理店),Saga,新宮町,,,4.5,29,33.6996088,130.4407562,ChIJq7h1TECJQTURqORUY4pLUBA,2024-05-16
39 ベトナムフード,Saga,福岡市,,,4.0,32,33.61950059999999,130.4200777,ChIJfV41rkCPQTURFW8HwGzL6a8,2024-05-16
サイゴン Sai-Gon,Saga,福岡市,,,4.3,125,33.5932292,130.3953298,ChIJzZTmdJKRQTURZ1RHUMDB4As,2024-05-16
ベトナムビストロ asiatico（アジアティコ）,Saga,福岡市,,,4.4,334,33.5858818,130.3935647,ChIJ52hb0oaRQTUR9-co-J6ev8o,2024-05-16
ベトナム料理 チェーサイン レストラン,Saga,福岡市,,,3.8,69,33.5923527,130.4215063,ChIJqzSAQGGRQTURnX5m43N-vic,2024-05-16
愛達霖 AIDALIN,Saga,福岡市,,,4.6,57,33.5786323,130.4127828,ChIJw80WQPSRQTURu800VX-CY-4,2024-05-16
BÁNH MÌ 10 Itoshima Oval (バイン ミー テン),Fukuoka,福岡市,,,3.7,13,33.6111037,130.240371,ChIJH_lwWdztQTUROtqY0We3b6M,2024-05-16
ベトナム料理店 南十字星,Saga,福岡市,,,4.3,103,33.5810305,130.4276363,ChIJt_9nkrORQTUROjJ4mMuDOGA,2024-05-16
Phố Cổ Quán (フオーコ店),Saga,福岡市,,,4.6,38,33.6037193,130.4239445,ChIJoaM1E9yRQTURhgEXrc8kDJs,2024-05-16
NICHINAN PHO / 日南フォー 天神店,Fukuoka,福岡市,,,4.7,252,33.5918138,130.3954993,ChIJ-b9Ahn2RQTURtRR2YSDZnSA,2024-05-16
Đại Việt Quán ベトナム料理,Fukuoka,福岡市,,,4.8,82,33.5903479,130.4100605,ChIJmUgJMAqRQTURZrRVI2KGlTA,2024-05-16
ミスサイゴン,Saga,福岡市,,,4.2,177,33.6032827,130.4240583,ChIJk0KXZHqPQTURyg0WKmt7AFw,2024-05-16
ハノイカフェ【HANOI CAFE】,Fukuoka,福岡市,,,4.5,126,33.6277588,130.4438295,ChIJIcatYn6PQTUR2kaAbttmC5U,2024-05-16
シンチャオ 六本松店,Fukuoka,福岡市,,,4.3,139,33.57901,130.378318,ChIJQcFAo8-TQTURsnUDN-VStyY,2024-05-16
ザ シティ ベーカリー バー アンド バーガー ルービン,Saga,福岡市,,,4.1,408,33.5887919,130.3988578,ChIJ4SePkI-RQTURargueURq1yQ,2024-05-16
ロータスパレス博多店,Fukuoka,福岡市,,,4.1,104,33.58981,130.4204315,ChIJJ5G3LqiRQTURrp-xieC2RYY,2024-05-16
Góc Việt ゴックベト ベトナム料理店,Fukuoka,福岡市,,,4.3,58,33.5595364,130.4238732,ChIJW8nifKWRQTURQyi66LSIxDQ,2024-05-16
コンビンザン,Saga,佐賀市,,,4.0,21,33.25964,130.301185,ChIJb89SbXDKQTURjMx0LZwbusg,2024-05-16
ベトナム料理 サイゴンカフェ,Saga,小城市,,,4.5,45,33.3034229,130.2041188,ChIJB6k59zTNQTURktTmhISbOhA,2024-05-16
Tạp Hoá Saga - TL Mart Asia Food,Saga,佐賀市,,,4.4,25,33.268108,130.2967659,ChIJt7y2SsDLQTURa1w-92pUgzc,2024-05-16
チャウちゃん,Saga,佐賀市,,,4.4,61,33.2570817,130.3011169,ChIJs6-GS3LKQTURt3mOUytKwjs,2024-05-16
