name,prefecture,city,url,rating,review_count,latitude,longitude,category,description,query_used
ベトナムゴハン チリン堂,Hokkaido,Sapporo,https://www.facebook.com/chillinhdou/,4.4,155,43.0495262,141.3555736,"restaurant, food, point_of_interest, establishment",,バインミー
サイゴンフレッシュ ポールタウン店,Hokkaido,Sapporo,https://saigonfresh.jp/,4.5,101,43.0564289,141.3530917,"cafe, restaurant, food, store, point_of_interest, establishment",,バインミー
ホア セン レストラン,Hokkaido,Sapporo,https://hoasen-sapporo.owst.jp/,4.6,190,43.0516513,141.3545714,"restaurant, point_of_interest, food, establishment",,バインミー
サイゴンレストラン 札幌店,Hokkaido,Sapporo,https://www.hotpepper.jp/strJ003516828/,4.3,80,43.0043923,141.4306734,"restaurant, food, point_of_interest, establishment",,バインミー
バインミー サイゴンフレッシュ 本店,Hokkaido,Sapporo,https://saigonfresh.jp/,4.5,148,43.0573518,141.339118,"meal_takeaway, restaurant, food, point_of_interest, establishment",,バインミー
池袋サイゴンレストラン円山店,Hokkaido,Sapporo,https://www.instagram.com/saigon_sapporo/,4.6,22,43.0577029,141.3202995,"restaurant, food, point_of_interest, establishment",,バインミー
円山Vank2,Hokkaido,Sapporo,http://www.vietnam-vank.com/,4,42,43.05791929999999,141.3211913,"store, restaurant, food, point_of_interest, establishment",,バインミー
Sopracciglia - ソプラッチリア,Hokkaido,Sapporo,https://instagram.com/sopracciglia_sapporo?igshid=OGQ5ZDc2ODk2ZA==,4.4,144,43.06855710000001,141.3454486,"restaurant, food, point_of_interest, establishment",,バインミー
Bánh mì nguyễn,Hokkaido,Sapporo,https://www.instagram.com/banhminguyensapporo,5,44,43.1600656,141.3963472,"cafe, store, restaurant, food, point_of_interest, establishment",,バインミー
Caoマンガイ,Hokkaido,Sapporo,https://m.facebook.com/caomangai/?locale2=ja_JP,4.4,51,43.054149,141.353421,"restaurant, food, point_of_interest, establishment",,バインミー
もぐもぐ,Hokkaido,Sapporo,https://sandwich-specialty-store-mogmog.jimdosite.com/,4.1,120,43.0585133,141.3727356,"restaurant, food, point_of_interest, establishment",,バインミー
SOI MARUYAMA,Hokkaido,Sapporo,https://tabelog.com/hokkaido/A0101/A010105/1053270/,4,81,43.0548285,141.3208197,"restaurant, food, point_of_interest, establishment",,バインミー
サイアム琴似店,Hokkaido,Sapporo,http://siamhokkaido.com/,4.2,286,43.0785686,141.3063468,"restaurant, food, point_of_interest, establishment",,バインミー
タイ国料理 マニータイ,Hokkaido,Sapporo,https://www.maneethai.online/,4.1,237,43.0567255,141.350742,"restaurant, food, point_of_interest, establishment",,バインミー
AYASAND / give me donuts,Hokkaido,Sapporo,https://www.instagram.com/ayasand__/,4.3,43,43.0544362,141.3371758,"bakery, restaurant, point_of_interest, store, food, establishment",,バインミー
Gapaou Phra chan（ガパオウプラチャン）,Hokkaido,Sapporo,https://kushikatsuhanaw11.owst.jp/,4.5,43,43.0578695,141.3492289,"restaurant, point_of_interest, food, establishment",,バインミー
札幌タイ料理 サワディー ムーガタ専門店 สวัสดีหมูกะทะ,Hokkaido,Sapporo,https://sawady-susukino.owst.jp/,5,165,43.0537914,141.3550684,"restaurant, point_of_interest, food, establishment",,バインミー
タイ料理とお酒タタヤン,Hokkaido,Sapporo,,4,74,43.0545762,141.35231,"restaurant, food, point_of_interest, establishment",,バインミー
ハサミヤ,Hokkaido,Sapporo,https://www.facebook.com/hasamiyasandwich,4.2,148,43.0383985,141.3526716,"cafe, restaurant, food, point_of_interest, establishment",,バインミー
ジダパ・デラックス,Hokkaido,Sapporo,https://jidapadx.owst.jp/,3.9,89,43.0566001,141.3569591,"restaurant, food, point_of_interest, establishment",,バインミー
Hanoi Street Resto,Hokkaido,Sapporo,https://www.hotpepper.jp/strJ003560535/,4.8,112,43.0528037,141.3535604,"restaurant, food, point_of_interest, establishment",,バインミー
タイレストラン ワザナ 琴似店,Hokkaido,Sapporo,https://wasana.net/,4,33,43.0758401,141.3032237,"restaurant, food, point_of_interest, establishment",,バインミー
ピエトロ イオンモール札幌発寒店,Hokkaido,Sapporo,https://www.pietro.co.jp/restaurant/detail/79,4.2,37,43.0960621,141.2775757,"meal_takeaway, restaurant, food, point_of_interest, establishment",,バインミー
スリヨタイ,Hokkaido,Sapporo,,4,85,43.0747581,141.3494278,"restaurant, food, point_of_interest, establishment",,バインミー
ASIA‐TEI Trang Tron（アジア‐テイトラントロン）大通店,Hokkaido,Sapporo,,4.4,39,43.0591551,141.3463433,"restaurant, food, point_of_interest, establishment",,バインミー
山本のハンバーグ イオンモール札幌発寒店,Hokkaido,Sapporo,https://www.instagram.com/yamahan.sapporo/,3.8,37,43.09604880000001,141.2776675,"restaurant, food, point_of_interest, establishment",,バインミー
サーティワンアイスクリーム 札幌ポールタウン店,Hokkaido,Sapporo,https://store.31ice.co.jp/31ice/spot/detail?code=0000000584,3.4,42,43.0577045,141.352529,"bakery, restaurant, food, store, point_of_interest, establishment",Colorful ice cream parlor chain known for its many flavors plus sorbet & yogurt.,バインミー
山猫バル,Hokkaido,Sapporo,http://www.mamma-cr.com/yamaneko/sp/,3.9,302,43.0630667,141.3540268,"restaurant, food, point_of_interest, establishment","Bistro dishes with Spanish & Italian flair in a cozy, fashionable eatery behind Sapporo Clock Tower.",バインミー
TEPPAN YARO,Hokkaido,Sapporo,https://teppanyaro.owst.jp/,4.4,11,43.091058,141.3437636,"meal_takeaway, restaurant, food, point_of_interest, establishment",,バインミー
狸小路横丁,Hokkaido,Sapporo,https://instagram.com/tanukikojiyokocho?igshid=NTc4MTIwNjQ2YQ==,3.6,17,43.0572378,141.3505321,"bar, restaurant, food, point_of_interest, establishment",,バインミー
鰻の成瀬 札幌店,Hokkaido,Sapporo,https://www.unagi-naruse.com/,3.7,146,43.019213,141.4194102,"restaurant, food, point_of_interest, establishment",,バインミー
回転寿しトリトン 手稲店,Hokkaido,Sapporo,https://toriton-kita1.jp/,4.2,249,43.1258174,141.2425121,"restaurant, food, point_of_interest, establishment",,バインミー
沖楽パーラー ハッピータコライス,Hokkaido,Sapporo,,4.6,24,43.0031498,141.4291961,"meal_takeaway, restaurant, point_of_interest, food, establishment",,バインミー
本格インドカレーの館 スパイス,Hokkaido,Sapporo,,4.1,316,43.081604,141.344368,"restaurant, food, point_of_interest, establishment",,バインミー
四季 武むら,Hokkaido,Sapporo,,4.5,141,43.088536,141.3276574,"restaurant, food, point_of_interest, establishment",,バインミー
Kokopelli(ココペライ),Hokkaido,Sapporo,http://www.kokopelli-bread.com/,4.3,258,43.0662962,141.3266404,"bakery, food, point_of_interest, store, establishment",,バインミー
つけめんしんちゃん,Hokkaido,Sapporo,https://twitter.com/TUKEMENsinsuke,3.8,167,43.0520849,141.4525856,"restaurant, food, point_of_interest, establishment",,バインミー
ishidacoffeeten,Hokkaido,Sapporo,http://www.ishidacoffeeten.com/,4.3,280,43.0798201,141.3473279,"cafe, store, food, point_of_interest, establishment","Specialty coffee shop & cozy cafe known for house-roasted beans, plus cakes, puddings & light meals.",バインミー
個室焼肉つばめ本店,Hokkaido,Sapporo,https://yakinikutsubame.owst.jp/,4.6,547,43.0562974,141.3536957,"restaurant, food, point_of_interest, establishment",,バインミー
和牛焼肉 二代目ばんばん,Hokkaido,Sapporo,https://banban.owst.jp/,3.4,96,43.0527597,141.3535849,"restaurant, food, point_of_interest, establishment",,バインミー
寿し じん,Hokkaido,Sapporo,https://hitosara.com/0004037915/,4.1,18,43.0768774,141.3043865,"restaurant, food, point_of_interest, establishment",,バインミー
ふらの和牛 よしうし札幌本店,Hokkaido,Sapporo,https://furanowagyuyoshiushi-sapporo.com/?utm_source=google&utm_medium=meo,4.5,290,43.056259,141.3553611,"restaurant, food, point_of_interest, establishment",,バインミー
道楽ぼうず 麻生店,Hokkaido,Sapporo,https://dourabouzu-asabu.foodre.jp/,4.5,684,43.1100016,141.3380686,"restaurant, food, point_of_interest, establishment",,バインミー
sweet hearts NAMPO (スイートハーツナンポ),Hokkaido,Sapporo,https://sweethearts-nampo.com/,4.4,190,43.0666552,141.3314393,"bakery, food, point_of_interest, store, establishment",,バインミー
三代目網元 さかなや道場 北24条店,Hokkaido,Sapporo,https://sakanayadojo.com/sapporo-kita24/?utm_source=google_map&utm_medium=map,3.6,133,43.0900985,141.3433415,"restaurant, food, point_of_interest, establishment",,バインミー
個室居酒屋 道楽ぼうず札幌駅前店,Hokkaido,Sapporo,https://ha6g100.gorp.jp/,4.3,185,43.064388,141.3533068,"restaurant, food, point_of_interest, establishment",,バインミー
鮨一,Hokkaido,Sapporo,,4.6,121,43.09335009999999,141.3211191,"restaurant, food, point_of_interest, establishment",,バインミー
うなぎや,Hokkaido,Sapporo,,4.1,451,43.09711069999999,141.3244386,"restaurant, food, point_of_interest, establishment",,バインミー
手打そば やま賀,Hokkaido,Sapporo,http://yamaga-soba.sakura.ne.jp/,4.1,464,43.07551100000001,141.2659201,"restaurant, food, point_of_interest, establishment",,バインミー
zou cafe(ゾウ カフェ),Hokkaido,Sapporo,https://www.instagram.com/zou_cafe_sapporo/?hl=ja,4.3,23,43.0538361,141.3314693,"cafe, food, point_of_interest, establishment",,バインミー
バインミー☆ サンドイッチ,Tokyo,Shibuya City,https://www.instagram.com/banhmi_sandwich_takadanobaba/,4.4,20,35.6683371,139.7048337,"restaurant, food, point_of_interest, establishment",,バインミー
vege tavola EDOYA,Hokkaido,Kitahiroshima,https://www.instagram.com/vegetavola_edoya/?hl=ja,4.5,22,42.9785265,141.5616884,"restaurant, food, point_of_interest, establishment",,バインミー
Bánh Mì Xin Chào,Tokyo,Toshima City,http://banhmixinchao.co.jp/,3.9,155,35.7303444,139.7151945,"restaurant, point_of_interest, food, establishment",,バインミー
